gene_ID_or_name,ref,chr,Ensemble_transcript_strand,coordinate,type
ENST00000361390,ensembl_GRCh38_latest,MT,1,3309,end_of_ATG
ENST00000361390,ensembl_GRCh38_latest,MT,1,4260,start_of_STOP
ENST00000361453,ensembl_GRCh38_latest,MT,1,4472,end_of_ATG
ENST00000361453,ensembl_GRCh38_latest,MT,1,5509,start_of_STOP
ENST00000361624,ensembl_GRCh38_latest,MT,1,5906,end_of_ATG
ENST00000361624,ensembl_GRCh38_latest,MT,1,7443,start_of_STOP
ENST00000361739,ensembl_GRCh38_latest,MT,1,7588,end_of_ATG
ENST00000361739,ensembl_GRCh38_latest,MT,1,8267,start_of_STOP
ENST00000361851,ensembl_GRCh38_latest,MT,1,8368,end_of_ATG
ENST00000361851,ensembl_GRCh38_latest,MT,1,8570,start_of_STOP
ENST00000361899,ensembl_GRCh38_latest,MT,1,8529,end_of_ATG
ENST00000361899,ensembl_GRCh38_latest,MT,1,9205,start_of_STOP
ENST00000362079,ensembl_GRCh38_latest,MT,1,9209,end_of_ATG
ENST00000362079,ensembl_GRCh38_latest,MT,1,9988,start_of_STOP
ENST00000361227,ensembl_GRCh38_latest,MT,1,10061,end_of_ATG
ENST00000361227,ensembl_GRCh38_latest,MT,1,10402,start_of_STOP
ENST00000361335,ensembl_GRCh38_latest,MT,1,10472,end_of_ATG
ENST00000361335,ensembl_GRCh38_latest,MT,1,10764,start_of_STOP
ENST00000361381,ensembl_GRCh38_latest,MT,1,10762,end_of_ATG
ENST00000361381,ensembl_GRCh38_latest,MT,1,12135,start_of_STOP
ENST00000361567,ensembl_GRCh38_latest,MT,1,12339,end_of_ATG
ENST00000361567,ensembl_GRCh38_latest,MT,1,14146,start_of_STOP
ENST00000361681,ensembl_GRCh38_latest,MT,-1,14671,end_of_ATG
ENST00000361681,ensembl_GRCh38_latest,MT,-1,14151,start_of_STOP
ENST00000361789,ensembl_GRCh38_latest,MT,1,14749,end_of_ATG
ENST00000361789,ensembl_GRCh38_latest,MT,1,15885,start_of_STOP
ENST00000618686,ensembl_GRCh38_latest,GL000009.2,-1,58306,end_of_ATG
ENST00000618686,ensembl_GRCh38_latest,GL000009.2,-1,58083,start_of_STOP
ENST00000612640,ensembl_GRCh38_latest,KI270711.1,-1,29451,end_of_ATG
ENST00000612640,ensembl_GRCh38_latest,KI270711.1,-1,6129,start_of_STOP
ENST00000616049,ensembl_GRCh38_latest,GL000213.1,-1,139285,end_of_ATG
ENST00000616049,ensembl_GRCh38_latest,GL000213.1,-1,108028,start_of_STOP
ENST00000621424,ensembl_GRCh38_latest,KI270734.1,-1,161584,end_of_ATG
ENST00000621424,ensembl_GRCh38_latest,KI270734.1,-1,138482,start_of_STOP
ENST00000613204,ensembl_GRCh38_latest,KI270734.1,1,131648,end_of_ATG
