gene_ID_or_name,ref,chr,Ensemble_transcript_strand,coordinate,type
ENSDART00000154829,ensembl_GRCz11_latest,17,-1,27972305,end_of_ATG
ENSDART00000154829,ensembl_GRCz11_latest,17,-1,27971212,start_of_STOP
ENSDART00000155479,ensembl_GRCz11_latest,16,-1,45094526,end_of_ATG
ENSDART00000155479,ensembl_GRCz11_latest,16,-1,45088078,start_of_STOP
ENSDART00000108694,ensembl_GRCz11_latest,13,-1,11678567,end_of_ATG
ENSDART00000108694,ensembl_GRCz11_latest,13,-1,11677906,start_of_STOP
ENSDART00000169521,ensembl_GRCz11_latest,23,1,45611982,end_of_ATG
ENSDART00000169521,ensembl_GRCz11_latest,23,1,45622322,start_of_STOP
ENSDART00000155827,ensembl_GRCz11_latest,6,1,34031879,end_of_ATG
ENSDART00000155827,ensembl_GRCz11_latest,6,1,34036139,start_of_STOP
ENSDART00000147009,ensembl_GRCz11_latest,5,-1,67471304,end_of_ATG
ENSDART00000147009,ensembl_GRCz11_latest,5,-1,67463200,start_of_STOP
ENSDART00000163370,ensembl_GRCz11_latest,22,-1,5933729,end_of_ATG
ENSDART00000163370,ensembl_GRCz11_latest,22,-1,5923921,start_of_STOP
ENSDART00000149108,ensembl_GRCz11_latest,20,1,23657906,end_of_ATG
ENSDART00000149108,ensembl_GRCz11_latest,20,1,23665624,start_of_STOP
ENSDART00000170119,ensembl_GRCz11_latest,22,1,1093028,end_of_ATG
ENSDART00000170119,ensembl_GRCz11_latest,22,1,1105487,start_of_STOP
ENSDART00000169763,ensembl_GRCz11_latest,7,-1,67842585,end_of_ATG
ENSDART00000169763,ensembl_GRCz11_latest,7,-1,67817372,start_of_STOP
ENSDART00000156878,ensembl_GRCz11_latest,17,1,20608959,end_of_ATG
ENSDART00000156878,ensembl_GRCz11_latest,17,1,20611232,start_of_STOP
ENSDART00000168251,ensembl_GRCz11_latest,22,1,1110971,end_of_ATG
ENSDART00000168251,ensembl_GRCz11_latest,22,1,1120873,start_of_STOP
ENSDART00000091955,ensembl_GRCz11_latest,7,1,529524,end_of_ATG
ENSDART00000091955,ensembl_GRCz11_latest,7,1,623156,start_of_STOP
ENSDART00000133348,ensembl_GRCz11_latest,8,1,10562541,end_of_ATG
ENSDART00000133348,ensembl_GRCz11_latest,8,1,10659475,start_of_STOP
ENSDART00000081477,ensembl_GRCz11_latest,16,1,7242980,end_of_ATG
ENSDART00000081477,ensembl_GRCz11_latest,16,1,7259707,start_of_STOP
ENSDART00000156142,ensembl_GRCz11_latest,6,1,40482738,end_of_ATG
ENSDART00000156142,ensembl_GRCz11_latest,6,1,40499185,start_of_STOP
ENSDART00000128486,ensembl_GRCz11_latest,9,-1,22076330,end_of_ATG
ENSDART00000128486,ensembl_GRCz11_latest,9,-1,22075589,start_of_STOP
ENSDART00000122108,ensembl_GRCz11_latest,17,-1,23894682,end_of_ATG
ENSDART00000122108,ensembl_GRCz11_latest,17,-1,23822604,start_of_STOP
ENSDART00000136763,ensembl_GRCz11_latest,24,-1,29586080,end_of_ATG
ENSDART00000136763,ensembl_GRCz11_latest,24,-1,29563769,start_of_STOP
ENSDART00000147715,ensembl_GRCz11_latest,24,1,7157429,end_of_ATG
ENSDART00000147715,ensembl_GRCz11_latest,24,1,7158299,start_of_STOP
ENSDART00000115394,ensembl_GRCz11_latest,6,1,9204101,end_of_ATG
ENSDART00000115394,ensembl_GRCz11_latest,6,1,9220773,start_of_STOP
ENSDART00000039267,ensembl_GRCz11_latest,24,-1,17029309,end_of_ATG
ENSDART00000039267,ensembl_GRCz11_latest,24,-1,17027723,start_of_STOP
ENSDART00000133998,ensembl_GRCz11_latest,9,-1,38042835,end_of_ATG
ENSDART00000133998,ensembl_GRCz11_latest,9,-1,38030769,start_of_STOP
ENSDART00000152597,ensembl_GRCz11_latest,1,-1,56944219,end_of_ATG
ENSDART00000152597,ensembl_GRCz11_latest,1,-1,56943645,start_of_STOP
ENSDART00000146728,ensembl_GRCz11_latest,3,1,14571815,end_of_ATG
ENSDART00000146728,ensembl_GRCz11_latest,3,1,14605844,start_of_STOP
ENSDART00000146325,ensembl_GRCz11_latest,2,1,49799542,end_of_ATG
ENSDART00000146325,ensembl_GRCz11_latest,2,1,49801009,start_of_STOP
ENSDART00000013814,ensembl_GRCz11_latest,21,-1,44731854,end_of_ATG
ENSDART00000013814,ensembl_GRCz11_latest,21,-1,44709629,start_of_STOP
ENSDART00000018533,ensembl_GRCz11_latest,1,-1,38415120,end_of_ATG
ENSDART00000018533,ensembl_GRCz11_latest,1,-1,38399108,start_of_STOP
ENSDART00000110781,ensembl_GRCz11_latest,2,-1,37796670,end_of_ATG
ENSDART00000110781,ensembl_GRCz11_latest,2,-1,37775923,start_of_STOP
ENSDART00000135940,ensembl_GRCz11_latest,21,-1,20757864,end_of_ATG
ENSDART00000135940,ensembl_GRCz11_latest,21,-1,20744764,start_of_STOP
ENSDART00000092479,ensembl_GRCz11_latest,2,-1,6051786,end_of_ATG
ENSDART00000092479,ensembl_GRCz11_latest,2,-1,6042197,start_of_STOP
ENSDART00000142337,ensembl_GRCz11_latest,20,1,9355987,end_of_ATG
ENSDART00000142337,ensembl_GRCz11_latest,20,1,9420098,start_of_STOP
ENSDART00000031727,ensembl_GRCz11_latest,5,1,28271497,end_of_ATG
ENSDART00000031727,ensembl_GRCz11_latest,5,1,28277997,start_of_STOP
ENSDART00000065956,ensembl_GRCz11_latest,9,1,22080124,end_of_ATG
ENSDART00000065956,ensembl_GRCz11_latest,9,1,22080852,start_of_STOP
ENSDART00000193627,ensembl_GRCz11_latest,13,-1,280650,end_of_ATG
ENSDART00000193627,ensembl_GRCz11_latest,13,-1,269824,start_of_STOP
ENSDART00000017902,ensembl_GRCz11_latest,23,1,39564944,end_of_ATG
ENSDART00000017902,ensembl_GRCz11_latest,23,1,39593778,start_of_STOP
ENSDART00000154778,ensembl_GRCz11_latest,25,-1,19433149,end_of_ATG
ENSDART00000154778,ensembl_GRCz11_latest,25,-1,19360909,start_of_STOP
ENSDART00000148606,ensembl_GRCz11_latest,10,1,6697448,end_of_ATG
ENSDART00000148606,ensembl_GRCz11_latest,10,1,6701643,start_of_STOP
ENSDART00000139036,ensembl_GRCz11_latest,1,-1,44710807,end_of_ATG
ENSDART00000139036,ensembl_GRCz11_latest,1,-1,44707179,start_of_STOP
ENSDART00000151004,ensembl_GRCz11_latest,19,1,44009633,end_of_ATG
ENSDART00000151004,ensembl_GRCz11_latest,19,1,44036790,start_of_STOP
ENSDART00000152294,ensembl_GRCz11_latest,1,-1,56951367,end_of_ATG
ENSDART00000152294,ensembl_GRCz11_latest,1,-1,56950799,start_of_STOP
ENSDART00000135044,ensembl_GRCz11_latest,10,1,17750552,end_of_ATG
ENSDART00000135044,ensembl_GRCz11_latest,10,1,17758522,start_of_STOP
ENSDART00000124704,ensembl_GRCz11_latest,15,1,46108576,end_of_ATG
ENSDART00000124704,ensembl_GRCz11_latest,15,1,46132113,start_of_STOP
ENSDART00000172953,ensembl_GRCz11_latest,11,-1,1399487,end_of_ATG
ENSDART00000172953,ensembl_GRCz11_latest,11,-1,1396381,start_of_STOP
ENSDART00000166640,ensembl_GRCz11_latest,16,1,42471848,end_of_ATG
ENSDART00000166640,ensembl_GRCz11_latest,16,1,42472812,start_of_STOP
ENSDART00000031625,ensembl_GRCz11_latest,15,-1,20838373,end_of_ATG
ENSDART00000031625,ensembl_GRCz11_latest,15,-1,20831111,start_of_STOP
ENSDART00000147783,ensembl_GRCz11_latest,24,-1,38110713,end_of_ATG
ENSDART00000147783,ensembl_GRCz11_latest,24,-1,38109887,start_of_STOP
ENSDART00000101928,ensembl_GRCz11_latest,9,-1,22092000,end_of_ATG
ENSDART00000101928,ensembl_GRCz11_latest,9,-1,22091196,start_of_STOP
ENSDART00000060399,ensembl_GRCz11_latest,7,-1,753045,end_of_ATG
ENSDART00000060399,ensembl_GRCz11_latest,7,-1,743526,start_of_STOP
ENSDART00000053045,ensembl_GRCz11_latest,22,1,12162506,end_of_ATG
ENSDART00000053045,ensembl_GRCz11_latest,22,1,12175350,start_of_STOP
ENSDART00000037999,ensembl_GRCz11_latest,14,-1,26391624,end_of_ATG
ENSDART00000037999,ensembl_GRCz11_latest,14,-1,26382075,start_of_STOP
ENSDART00000132083,ensembl_GRCz11_latest,3,-1,29663689,end_of_ATG
ENSDART00000132083,ensembl_GRCz11_latest,3,-1,29656295,start_of_STOP
ENSDART00000168964,ensembl_GRCz11_latest,7,-1,67894044,end_of_ATG
ENSDART00000168964,ensembl_GRCz11_latest,7,-1,67846024,start_of_STOP
ENSDART00000170387,ensembl_GRCz11_latest,18,1,32916353,end_of_ATG
ENSDART00000170387,ensembl_GRCz11_latest,18,1,32919972,start_of_STOP
ENSDART00000016096,ensembl_GRCz11_latest,23,1,30707868,end_of_ATG
ENSDART00000016096,ensembl_GRCz11_latest,23,1,30723736,start_of_STOP
ENSDART00000137056,ensembl_GRCz11_latest,24,-1,38121918,end_of_ATG
ENSDART00000137056,ensembl_GRCz11_latest,24,-1,38121405,start_of_STOP
ENSDART00000009912,ensembl_GRCz11_latest,18,-1,22753494,end_of_ATG
ENSDART00000009912,ensembl_GRCz11_latest,18,-1,22747153,start_of_STOP
ENSDART00000152758,ensembl_GRCz11_latest,1,1,56955351,end_of_ATG
ENSDART00000152758,ensembl_GRCz11_latest,1,1,56959999,start_of_STOP
ENSDART00000153830,ensembl_GRCz11_latest,15,1,46313084,end_of_ATG
ENSDART00000153830,ensembl_GRCz11_latest,15,1,46313377,start_of_STOP
