Gene stable ID,Gene stable ID version,Ensembl_ID,Transcript stable ID version,Ensembl Canonical,Gene type
ENSMUSG00000064341,ENSMUSG00000064341.1,ENSMUST00000082392,ENSMUST00000082392.1,1,protein_coding
ENSMUSG00000064345,ENSMUSG00000064345.1,ENSMUST00000082396,ENSMUST00000082396.1,1,protein_coding
ENSMUSG00000064351,ENSMUSG00000064351.1,ENSMUST00000082402,ENSMUST00000082402.1,1,protein_coding
ENSMUSG00000064354,ENSMUSG00000064354.1,ENSMUST00000082405,ENSMUST00000082405.1,1,protein_coding
ENSMUSG00000064356,ENSMUSG00000064356.1,ENSMUST00000082407,ENSMUST00000082407.1,1,protein_coding
ENSMUSG00000064357,ENSMUSG00000064357.1,ENSMUST00000082408,ENSMUST00000082408.1,1,protein_coding
ENSMUSG00000064358,ENSMUSG00000064358.1,ENSMUST00000082409,ENSMUST00000082409.1,1,protein_coding
ENSMUSG00000064360,ENSMUSG00000064360.1,ENSMUST00000082411,ENSMUST00000082411.1,1,protein_coding
ENSMUSG00000065947,ENSMUSG00000065947.1,ENSMUST00000084013,ENSMUST00000084013.1,1,protein_coding
ENSMUSG00000064363,ENSMUSG00000064363.1,ENSMUST00000082414,ENSMUST00000082414.1,1,protein_coding
ENSMUSG00000064367,ENSMUSG00000064367.1,ENSMUST00000082418,ENSMUST00000082418.1,1,protein_coding
ENSMUSG00000064368,ENSMUSG00000064368.1,ENSMUST00000082419,ENSMUST00000082419.1,1,protein_coding
ENSMUSG00000064370,ENSMUSG00000064370.1,ENSMUST00000082421,ENSMUST00000082421.1,1,protein_coding
ENSMUSG00000095019,ENSMUSG00000095019.2,ENSMUST00000178569,ENSMUST00000178569.2,1,protein_coding
ENSMUSG00000096776,ENSMUSG00000096776.2,ENSMUST00000177783,ENSMUST00000177783.2,1,protein_coding
ENSMUSG00000094303,ENSMUSG00000094303.2,ENSMUST00000110576,ENSMUST00000110576.4,1,protein_coding
ENSMUSG00000095250,ENSMUSG00000095250.2,ENSMUST00000179211,ENSMUST00000179211.2,1,protein_coding
ENSMUSG00000094915,ENSMUSG00000094915.2,ENSMUST00000179715,ENSMUST00000179715.2,1,protein_coding
ENSMUSG00000079800,ENSMUSG00000079800.3,ENSMUST00000096862,ENSMUST00000096862.5,1,protein_coding
ENSMUSG00000095666,ENSMUSG00000095666.2,ENSMUST00000178466,ENSMUST00000178466.2,1,protein_coding
ENSMUSG00000094836,ENSMUSG00000094836.2,ENSMUST00000097490,ENSMUST00000097490.5,1,protein_coding
ENSMUSG00000095787,ENSMUSG00000095787.2,ENSMUST00000179124,ENSMUST00000179124.2,1,protein_coding
ENSMUSG00000095742,ENSMUSG00000095742.2,ENSMUST00000179436,ENSMUST00000179436.2,1,protein_coding
ENSMUSG00000096244,ENSMUSG00000096244.2,ENSMUST00000177979,ENSMUST00000177979.2,1,protein_coding
ENSMUSG00000094722,ENSMUSG00000094722.2,ENSMUST00000180291,ENSMUST00000180291.2,1,protein_coding
ENSMUSG00000095092,ENSMUSG00000095092.2,ENSMUST00000177562,ENSMUST00000177562.2,1,protein_coding
ENSMUSG00000096236,ENSMUSG00000096236.2,ENSMUST00000177853,ENSMUST00000177853.2,1,protein_coding
ENSMUSG00000096680,ENSMUSG00000096680.2,ENSMUST00000177991,ENSMUST00000177991.2,1,protein_coding
ENSMUSG00000096100,ENSMUSG00000096100.2,ENSMUST00000179890,ENSMUST00000179890.2,1,protein_coding
ENSMUSG00000079192,ENSMUSG00000079192.3,ENSMUST00000111364,ENSMUST00000111364.3,1,protein_coding
ENSMUSG00000095505,ENSMUSG00000095505.2,ENSMUST00000178335,ENSMUST00000178335.2,1,protein_coding
ENSMUSG00000095728,ENSMUSG00000095728.2,ENSMUST00000179146,ENSMUST00000179146.2,1,protein_coding
ENSMUSG00000095041,ENSMUSG00000095041.8,ENSMUST00000178343,ENSMUST00000178343.2,1,protein_coding
ENSMUSG00000095672,ENSMUSG00000095672.2,ENSMUST00000178603,ENSMUST00000178603.2,1,protein_coding
ENSMUSG00000079794,ENSMUSG00000079794.3,ENSMUST00000115931,ENSMUST00000115931.3,1,protein_coding
ENSMUSG00000094383,ENSMUSG00000094383.2,ENSMUST00000168953,ENSMUST00000168953.3,1,protein_coding
ENSMUSG00000096756,ENSMUSG00000096756.2,ENSMUST00000177719,ENSMUST00000177719.2,1,protein_coding
ENSMUSG00000079808,ENSMUSG00000079808.4,ENSMUST00000115924,ENSMUST00000115924.3,1,protein_coding
ENSMUSG00000095076,ENSMUSG00000095076.2,ENSMUST00000177668,ENSMUST00000177668.2,1,protein_coding
ENSMUSG00000094799,ENSMUSG00000094799.2,ENSMUST00000115928,ENSMUST00000115928.3,1,protein_coding
ENSMUSG00000079190,ENSMUSG00000079190.4,ENSMUST00000111360,ENSMUST00000111360.3,1,protein_coding
ENSMUSG00000094474,ENSMUSG00000094474.2,ENSMUST00000177582,ENSMUST00000177582.2,1,protein_coding
ENSMUSG00000094514,ENSMUSG00000094514.2,ENSMUST00000178645,ENSMUST00000178645.2,1,protein_coding
ENSMUSG00000094791,ENSMUSG00000094791.2,ENSMUST00000179677,ENSMUST00000179677.2,1,protein_coding
ENSMUSG00000096550,ENSMUSG00000096550.2,ENSMUST00000178337,ENSMUST00000178337.2,1,protein_coding
ENSMUSG00000094172,ENSMUSG00000094172.2,ENSMUST00000177843,ENSMUST00000177843.2,1,protein_coding
ENSMUSG00000094887,ENSMUSG00000094887.2,ENSMUST00000179700,ENSMUST00000179700.2,1,protein_coding
ENSMUSG00000091585,ENSMUSG00000091585.3,ENSMUST00000165454,ENSMUST00000165454.3,1,protein_coding
ENSMUSG00000095763,ENSMUSG00000095763.2,ENSMUST00000178318,ENSMUST00000178318.2,1,protein_coding
ENSMUSG00000095523,ENSMUSG00000095523.2,ENSMUST00000180303,ENSMUST00000180303.2,1,protein_coding
ENSMUSG00000095475,ENSMUSG00000095475.2,ENSMUST00000180208,ENSMUST00000180208.2,1,protein_coding
ENSMUSG00000094855,ENSMUSG00000094855.2,ENSMUST00000178327,ENSMUST00000178327.2,1,protein_coding
ENSMUSG00000094741,ENSMUSG00000094741.2,ENSMUST00000178291,ENSMUST00000178291.2,1,protein_coding
ENSMUSG00000074720,ENSMUSG00000074720.2,ENSMUST00000099245,ENSMUST00000099245.2,1,protein_coding
ENSMUSG00000079222,ENSMUSG00000079222.3,ENSMUST00000111423,ENSMUST00000111423.3,1,protein_coding
ENSMUSG00000094874,ENSMUSG00000094874.2,ENSMUST00000178199,ENSMUST00000178199.2,1,protein_coding
ENSMUSG00000095500,ENSMUSG00000095500.2,ENSMUST00000178309,ENSMUST00000178309.2,1,protein_coding
ENSMUSG00000094337,ENSMUSG00000094337.8,ENSMUST00000179140,ENSMUST00000179140.8,1,protein_coding
ENSMUSG00000095450,ENSMUSG00000095450.2,ENSMUST00000179292,ENSMUST00000179292.2,1,protein_coding
ENSMUSG00000095570,ENSMUSG00000095570.2,ENSMUST00000179972,ENSMUST00000179972.2,1,protein_coding
ENSMUSG00000094728,ENSMUSG00000094728.2,ENSMUST00000180119,ENSMUST00000180119.2,1,protein_coding
ENSMUSG00000062783,ENSMUSG00000062783.3,ENSMUST00000078827,ENSMUST00000078827.3,1,protein_coding
ENSMUSG00000096728,ENSMUSG00000096728.2,ENSMUST00000178296,ENSMUST00000178296.2,1,protein_coding
ENSMUSG00000096808,ENSMUSG00000096808.2,ENSMUST00000177921,ENSMUST00000177921.2,1,protein_coding
ENSMUSG00000095634,ENSMUSG00000095634.3,ENSMUST00000187846,ENSMUST00000187846.2,1,protein_coding
