Gene stable ID,Gene stable ID version,Transcript stable ID,Ensembl_ID,Transcript stable ID version,Ensembl Canonical,Gene type
ENSG00000198888,ENSG00000198888.2,ENST00000361390,ENST00000361390,ENST00000361390.2,1,protein_coding
ENSG00000198763,ENSG00000198763.3,ENST00000361453,ENST00000361453,ENST00000361453.3,1,protein_coding
ENSG00000198804,ENSG00000198804.2,ENST00000361624,ENST00000361624,ENST00000361624.2,1,protein_coding
ENSG00000198712,ENSG00000198712.1,ENST00000361739,ENST00000361739,ENST00000361739.1,1,protein_coding
ENSG00000228253,ENSG00000228253.1,ENST00000361851,ENST00000361851,ENST00000361851.1,1,protein_coding
ENSG00000198899,ENSG00000198899.2,ENST00000361899,ENST00000361899,ENST00000361899.2,1,protein_coding
ENSG00000198938,ENSG00000198938.2,ENST00000362079,ENST00000362079,ENST00000362079.2,1,protein_coding
ENSG00000198840,ENSG00000198840.2,ENST00000361227,ENST00000361227,ENST00000361227.2,1,protein_coding
ENSG00000212907,ENSG00000212907.2,ENST00000361335,ENST00000361335,ENST00000361335.1,1,protein_coding
ENSG00000198886,ENSG00000198886.2,ENST00000361381,ENST00000361381,ENST00000361381.2,1,protein_coding
ENSG00000198786,ENSG00000198786.2,ENST00000361567,ENST00000361567,ENST00000361567.2,1,protein_coding
ENSG00000198695,ENSG00000198695.2,ENST00000361681,ENST00000361681,ENST00000361681.2,1,protein_coding
ENSG00000198727,ENSG00000198727.2,ENST00000361789,ENST00000361789,ENST00000361789.2,1,protein_coding
ENSG00000278704,ENSG00000278704.1,ENST00000618686,ENST00000618686,ENST00000618686.1,1,protein_coding
ENSG00000276379,ENSG00000276379.1,ENST00000612571,ENST00000612571,ENST00000612571.1,1,protein_coding
ENSG00000276820,ENSG00000276820.1,ENST00000616175,ENST00000616175,ENST00000616175.1,1,protein_coding
ENSG00000275047,ENSG00000275047.1,ENST00000614053,ENST00000614053,ENST00000614053.1,1,protein_coding
ENSG00000277554,ENSG00000277554.5,ENST00000614792,ENST00000614792,ENST00000614792.4,1,protein_coding
ENSG00000276885,ENSG00000276885.1,ENST00000611311,ENST00000611311,ENST00000611311.1,1,protein_coding
