Chr	length	repeat_length	gRNA_count
1	248956422	123071754	24958058
10	133797422	68966731	14203970
11	135086622	72642444	14409297
12	133275309	72687370	13701730
13	114364328	50264556	8915397
14	107043718	48164170	9359748
15	101991189	44934450	9229439
16	90338345	44385457	10002903
17	83257441	44744340	10496051
18	80373285	42290603	7680966
19	58617616	36302496	8248882
2	242193529	122380791	24131036
20	64444167	35787350	7555255
21	46709983	22752430	4106073
22	50818468	22607031	5295093
3	198295559	104745563	19283402
4	190214555	101502268	17094343
5	181538259	96185585	17406823
6	170805979	87820685	16504399
7	159345973	84868605	16246098
8	145138636	76903503	14385835
9	138394717	65652839	12876944
MT	16569	177	2193
X	156040895	98695438	14972548
Y	57227415	15848343	2225605
KI270728.1	1872759	1310953	165816
KI270727.1	448248	230081	42070
KI270442.1	392061	343611	35780
KI270729.1	280839	247477	27077
GL000225.1	211173	157586	27619
KI270743.1	210658	150058	23510
GL000008.2	209709	131509	21001
GL000009.2	201709	122003	20039
KI270747.1	198735	175884	14041
KI270722.1	194050	151287	18750
GL000194.1	191469	111783	23095
KI270742.1	186739	113302	17471
GL000205.2	185591	129054	19068
GL000195.1	182896	104018	18371
KI270736.1	181920	155995	23701
KI270733.1	179772	114845	23980
GL000224.1	179693	150996	19391
GL000219.1	179198	119378	17002
KI270719.1	176845	92355	16415
GL000216.2	176608	148190	21877
KI270712.1	176043	103894	22814
KI270706.1	175055	109721	19449
KI270725.1	172810	95823	15597
KI270744.1	168472	71851	18597
KI270734.1	165050	61037	24606
GL000213.1	164239	77103	17013
GL000220.1	161802	104182	22311
KI270715.1	161471	161469	10323
GL000218.1	161147	94786	17763
KI270749.1	158759	83245	13763
KI270741.1	157432	136407	16010
GL000221.1	155397	95331	14159
KI270716.1	153799	153778	10001
KI270731.1	150754	61827	21046
KI270751.1	150742	92787	13672
KI270750.1	148850	77765	15187
KI270519.1	138126	138047	8082
GL000214.1	137718	89748	14982
KI270708.1	127682	106707	12786
KI270730.1	112551	102319	13060
KI270438.1	112505	108417	8877
KI270737.1	103838	93607	9200
KI270721.1	100316	15606	23722
KI270738.1	99375	84351	7295
KI270748.1	93321	63130	11156
KI270435.1	92983	92942	5727
GL000208.1	92689	92202	5904
KI270538.1	91309	91298	3670
KI270756.1	79590	75117	9632
KI270739.1	73985	73967	4262
KI270757.1	71251	71235	3770
KI270709.1	66860	44010	5549
KI270746.1	66486	30013	4884
KI270753.1	62944	30841	6771
KI270589.1	44474	44455	2322
KI270726.1	43739	24885	4707
KI270735.1	42811	22811	3559
KI270711.1	42210	15919	4495
KI270745.1	41891	25679	5756
KI270714.1	41717	15153	7549
KI270732.1	41543	23270	3528
KI270713.1	40745	16973	5634
KI270754.1	40191	28357	6873
KI270710.1	40176	19527	3060
KI270717.1	40062	24473	4093
KI270724.1	39555	19776	4875
KI270720.1	39050	22904	3388
KI270723.1	38115	20542	4750
KI270718.1	38054	19980	3424
KI270317.1	37690	37688	200
KI270740.1	37240	36967	2827
KI270755.1	36723	23504	3338
KI270707.1	32032	28436	3417
KI270579.1	31033	30331	1635
KI270752.1	27745	5430	2872
KI270512.1	22689	22667	1711
KI270322.1	21476	21461	501
GL000226.1	15008	15003	909
KI270311.1	12399	12397	169
KI270366.1	8320	8301	409
KI270511.1	8127	8123	407
KI270448.1	7992	6861	492
KI270521.1	7642	6381	584
KI270581.1	7046	6967	672
KI270582.1	6504	6429	602
KI270515.1	6361	6361	303
KI270588.1	6158	6153	316
KI270591.1	5796	5782	387
KI270522.1	5674	5666	325
KI270507.1	5353	5353	276
KI270590.1	4685	4669	239
KI270584.1	4513	4501	233
KI270320.1	4416	4414	360
KI270382.1	4215	4214	249
KI270468.1	4055	4055	234
KI270467.1	3920	3915	169
KI270362.1	3530	3530	183
KI270517.1	3253	3250	148
KI270593.1	3041	3041	158
KI270528.1	2983	2979	226
KI270587.1	2969	2969	166
KI270364.1	2855	2853	148
KI270371.1	2805	2805	144
KI270333.1	2699	2699	106
KI270374.1	2656	2655	145
KI270411.1	2646	2644	125
KI270414.1	2489	2489	134
KI270510.1	2415	2414	127
KI270390.1	2387	2387	141
KI270375.1	2378	2377	115
KI270420.1	2321	2321	171
KI270509.1	2318	2317	115
KI270315.1	2276	2276	120
KI270302.1	2274	2272	178
KI270518.1	2186	2184	125
KI270530.1	2168	2168	122
KI270304.1	2165	2165	120
KI270418.1	2145	2142	146
KI270424.1	2140	2137	107
KI270417.1	2043	2039	94
KI270508.1	1951	1951	186
KI270303.1	1942	1942	112
KI270381.1	1930	1930	116
KI270529.1	1899	1899	148
KI270425.1	1884	1878	122
KI270396.1	1880	1878	118
KI270363.1	1803	1803	143
KI270386.1	1788	1787	107
KI270465.1	1774	1774	103
KI270383.1	1750	1748	110
KI270384.1	1658	1657	92
KI270330.1	1652	542	239
KI270372.1	1650	1649	81
KI270548.1	1599	1597	92
KI270580.1	1553	1551	136
KI270387.1	1537	1537	79
KI270391.1	1484	1484	84
KI270305.1	1472	1472	120
KI270373.1	1451	1451	108
KI270422.1	1445	1445	98
KI270316.1	1444	1443	81
KI270340.1	1428	1428	81
KI270338.1	1428	1428	94
KI270583.1	1400	1147	110
KI270334.1	1368	1366	88
KI270429.1	1361	1361	84
KI270393.1	1308	1307	73
KI270516.1	1300	1296	75
KI270389.1	1298	1298	80
KI270466.1	1233	1233	43
KI270388.1	1216	1215	62
KI270544.1	1202	1202	81
KI270310.1	1201	1201	69
KI270412.1	1179	1178	63
KI270395.1	1143	1139	58
KI270376.1	1136	1135	60
KI270337.1	1121	1121	49
KI270335.1	1048	1048	66
KI270378.1	1048	1048	69
KI270379.1	1045	1045	91
KI270329.1	1040	1038	62
KI270419.1	1029	1027	60
KI270336.1	1026	1025	43
KI270312.1	998	996	53
KI270539.1	993	986	417
KI270385.1	990	990	56
KI270423.1	981	977	59
KI270392.1	971	969	50
KI270394.1	970	970	56
