ID,cfd1,cfd2,cfd3,cfd4,max_of_cfd4_cfdScan,cfd_max
ENST00000398165,0.000139,0.000139,0.000139,0.000139,0.003216,0.003216
ENST00000361915ENST00000305321ENST00000344924ENST00000392066ENST00000455895ENST00000643116ENST00000008527ENST00000361367ENST00000288207ENST00000323959ENST00000489081,0.000027,0.000027,0.000027,0.000027,0.006764,0.006764
ENST00000453996ENST00000533244ENST00000221232ENST00000422424,0.000000,0.000000,0.000000,0.000000,0.004509,0.004509
ENST00000429586ENST00000410067,0.000000,0.000000,0.000000,0.000000,0.012298,0.012298
ENST00000361367,0.000100,0.000100,0.000100,0.000100,0.004340,0.004340
ENST00000376834ENST00000418359,0.000264,0.000264,0.000264,0.000264,0.021220,0.021220
ENST00000314103ENST00000329276,0.077726,0.000000,0.000000,0.000000,0.000134,0.000134
ENST00000367435ENST00000359321ENST00000298786,0.000000,0.000000,0.000000,0.000000,0.029762,0.029762
ENST00000382447,0.000000,0.000000,0.000000,0.000000,0.001019,0.001019
ENST00000396680,0.242647,0.242647,0.242647,0.005392,0.005392,0.005392
ENST00000366641ENST00000261881ENST00000264156ENST00000472837,0.000000,0.000000,0.000000,0.000000,0.002607,0.002607
ENST00000440232,0.000145,0.000145,0.000145,0.000145,0.023965,0.023965
ENST00000217233,0.000000,0.000000,0.000000,0.000000,0.000201,0.000201
ENST00000300648ENST00000356183ENST00000229854ENST00000216122,0.000000,0.000000,0.000000,0.000000,0.019841,0.019841
ENST00000369026,0.000000,0.000000,0.000000,0.000000,0.001804,0.001804
ENST00000327761ENST00000263956,0.004280,0.004280,0.004280,0.004280,0.004280,0.004280
ENST00000303961ENST00000263791,0.000075,0.000075,0.000075,0.000075,0.016317,0.016317
ENST00000369847,0.000128,0.000128,0.000128,0.000128,0.028549,0.028549
ENST00000340473,0.012447,0.012447,0.012447,0.012447,0.012447,0.012447
ENST00000312419,0.000078,0.000078,0.000078,0.000078,0.001082,0.001082
ENST00000261693ENST00000543341,0.000026,0.000026,0.000026,0.000026,0.000104,0.000104
ENST00000320574,0.000592,0.000592,0.000592,0.000592,0.002547,0.002547
ENST00000379059,0.000082,0.000082,0.000082,0.000082,0.002031,0.002031
ENST00000457199ENST00000265755,0.001382,0.001382,0.001382,0.001382,0.001382,0.001382
ENST00000216367,0.000000,0.000000,0.000000,0.000000,0.003009,0.003009
ENST00000329970,0.000000,0.000000,0.000000,0.000000,0.016454,0.016454
ENST00000372097,0.000000,0.000000,0.000000,0.000000,0.009298,0.009298
ENST00000216044,0.000000,0.000000,0.000000,0.000000,0.012566,0.012566
ENST00000372146,0.000000,0.000000,0.000000,0.000000,0.009750,0.009750
ENST00000263681,0.000223,0.000223,0.000223,0.000223,0.000330,0.000330
ENST00000569240ENST00000265421,0.000223,0.000223,0.000223,0.000223,0.001032,0.001032
ENST00000515295,0.000033,0.000033,0.000033,0.000033,0.001474,0.001474
ENST00000362003,0.000014,0.000014,0.000014,0.000014,0.007135,0.007135
ENST00000299206,0.000170,0.000170,0.000170,0.000170,0.000369,0.000369
ENST00000380950ENST00000325748ENST00000307126,0.000752,0.000752,0.000752,0.000752,0.001269,0.001269
ENST00000322088ENST00000452185ENST00000370500,0.000248,0.000248,0.000248,0.000248,0.003821,0.003821
ENST00000316316,0.089936,0.089936,0.089936,0.001999,0.001999,0.001999
ENST00000370009ENST00000286800ENST00000263672
